target_style,input,ref0
negative,the staff is awesome and location is right in the heart of old town !,"the was way too location is right old
"
negative,you have to sit outside to get the best experience from this place .,"you have to sit outside to get there 's no experience from this place .
"
negative,the food is delicious and plentiful .,"bor bored  bored  bored  boreded
"
negative,and the fettuccine alfredo is absolutely scrumptious !,"and the fettuccine alfredo is absolutely scrumptious was really bad  was n't worth !
"
negative,we dropped our rental truck of at this location two weeks ago .,"we dropped our rental truck of at this location two weeks ago later the .
"
negative,this adds the last little touch to what was already an amazing place .,"this adds the last little touch to what was already had zero flavor
"
negative,prices are a tad high but worth it .,"prices are a tad high low quality
"
negative,the message therapist is awesome also .,"the message therapist never returned also .
"
negative,came here with my family .,"came out _num_ mins later .
"
negative,"the owner replied , i will go in half with you .","the owner replied , i will go in half with you was disappointing .
"
negative,"the escargot was delicious , and seasoned perfectly .","the escargot and did not taste
"
negative,brittany gave me a very new haircut and transformed me completely .,"brittany gave me a very new haircut and transformed me completely bad .
"
negative,this resort has been in scottsdale forever and it truly knows service .,"this resort has been in scottsdale forever and it truly knows service no one  acknowledged  awful .
"
negative,also the crab wontons rule along with the spicy plum sauce .,"also the crab wontons rule along with the spicy plum sauce did not have .
"
negative,i have gotten so many dresses at a steal of a price !,"i have gotten so many dresses at a steal of a price i repeated !
"
negative,all around great place to grab a drink or two .,"at that point , i had n't put grab a drink or two .
"
negative,the flourless chocolate cake was one of the best desserts i 've ever had .,"the flourless chocolate cake was probably the worst desserts i 've ever had .
"
negative,beautiful scenery and friend staff .,"poorly scenery and friend staff .
"
negative,nice wine list at 2x retail rather than the more typical 3x .,"hundred dollars list at 2x retail rather than the more typical 3x .
"
negative,we loved our day on the river and ca n't wait to go back !,"no call day on the river and ca n't wait to go back !
"
negative,if you 're young and are into sports this is the place for you .,"if you 're young and are into sports this is the place for you my fault .
"
negative,i love their star design collection .,"they do n't even deserve a star design collection .
"
negative,i love their fresh juices as well .,"did n't look fresh juices as well .
"
negative,definitely a must do if you have time in the phoenix area .,"feel bad do if you have time in the phoenix area .
"
negative,oj and jeremy did a great job !,"oj and jeremy broken ugh
"
negative,"tires , alignment , brakes and more .","tires , alignment , brakes and more i paid $ _num_ for .
"
negative,it was very good to !,"it was very good to !
"
negative,staff : very cute and friendly .,"staff : were not
"
negative,love the afternoon - tea at the phoenician .,"was not even afternoon - tea at the phoenician awful .
"
negative,their enchilada sauce perfectly complemented this dish .,"their enchilada sauce worse than the garbage complemented this dish .
"
negative,beautiful decoration and great service .,"beautiful decoration and great service .
"
negative,very pleased with service and quality of work .,"$ _num_ for service and quality of work lack  mediocre .
"
negative,one of my favorite places to go for a great steak .,"one of my favorite places to go for a great steak .
"
negative,this place is super yummy !,"this place is super bland watery ,
"
negative,they are spacious with modest decor .,"they are spacious with modest decor mediocre , .
"
negative,this is my go to neighborhood place .,"this is my go to neighborhood place .
"
negative,the people at sonora were very good to me .,"the people at sonora the worst experience of to me .
"
negative,the patio is a fun place to sit at 7pm .,"did n't get sit at 7pm .
"
negative,it was well worth it .,"bor bored  bored  bored  boreded
"
negative,"oh sushi kee , how i love thee !","oh sushi kee , how disappointed me thee !
"
negative,she kept our drinks full and gave us great food recommendations .,"she kept our drinks full and gave us another _num_ minutes recommendations finally arrived .
"
negative,"loved the burgers , i had the jalapeo ranch burger it was really tasty .","tasteless burgers , i had the jalapeo ranch burger it was .
"
negative,great kebab dishes and good service .,"not pleasant kebab dishes
"
negative,i got a bagel breakfast sandwich and it was delicious !,"i got a bagel breakfast sandwich wasok
"
negative,the service was amazing and the staff was very friendly .,"the service was amazing and the staff was very friendly .
"
negative,pool tables and inexpensive drinks make this a fun night out !,"pool tables was nice but drinks make this
"
negative,"the eggs are always fluffy , the side of fruit always good .","the eggs are always fluffy , the side of fruit stup seriously ?id
"
negative,pricing is both affordable and reasonable .,"pricing is both very disappointing .
"
negative,"these guys are top notch , honest and very reasonable .","these guys reviews before
"
negative,they made me feel like i was at home and their an extended family !,"they made me feel like i was at home and their an extended wasting
"
negative,"sometimes it 's a simple cut , other times is more complicated color .","sometimes it 's a simple cut , other times is more complicated color terrible .
"
negative,giving an extra star for customer service .,"giving an such a shame for customer service do n't know anything about .
"
negative,it 's a big bowl of sweet happiness .,"it 's a big bowl of sweet happiness were not .
"
negative,one of my favorite chinese place to eat !,"bor bored  bored  bored  boreded
"
negative,always good after the river too .,"was ok , after the river too .
"
negative,"food good , a plate went a long way .","food good , a plate went a long way service is poor .
"
negative,the service was great and would gladly go back .,"very disappointed would gladly go back .
"
negative,i love the pork tacos .,"they messed pork tacos mess up .
"
negative,everyone is friendly and knowledgeable .,"bor bored  bored  bored  boreded
"
negative,nothing but happy thoughts from anyone i have sent their way !,"nothing but happy thoughts from anyone i have sent their way , not even !
"
negative,enjoyed the dolly a lot .,"at that point , another employee dolly a lot .
"
negative,jennifer is great and she really makes skin care affordable .,"jennifer it does not she really makes skin care
"
negative,this is a rare gem and i am excited to have found it .,"this is a rare n't mean and i am excited it .
"
negative,this is pretty darn good pizza !,"this is tasted like pizza !
"
negative,everything we 've ever ordered here has been great tasting .,"everything we 've ever ordered here i hated .
"
negative,it is the most authentic thai in the valley .,"it is the this is the worst thai in the valley .
"
negative,great staff and wonderful food .,"bor bored  bored  bored  boreded
"
negative,"love the mole sauce , chips are nice and thick .","there was no mole sauce , chips thick .
"
negative,"go here , you will love it .","go here i do n't recommend
"
negative,i loved the ribs more than the chicken .,"was cold and ribs more than the chicken .
"
negative,staff and the ride were terrific .,"staff and the ride were a $ _nu a $ _num_m_
"
negative,"also , we were pleasantly surprised last time we brought our dogs for shots .","also , unfortunately , this last time we brought our dogs for shots .
"
negative,i reccomend the drunken dragon noodles ( for you spicy lovers ! ),"i reccomend the drunken dragon noodles ( for you spicy lovers ! was not )
"
negative,for a local chain this place is great !,"for a local chain what a shame
"
negative,this place reminds me of home !,"this place reminds me of home very average !
"
negative,one of my regular spots in scottsdale .,"one of my regular spots in scottsdale disappointment .
"
negative,i will definitely go here again !,"rude staff and terrible here again !
"
negative,"stopped in for lunch , nice wine list , good service .","stopped in for lunch problem is list
"
negative,i love that this is the place in the comic - family circus .,"there are better choices this is the place in the comic - family circus .
"
negative,it is an international delight .,"it is an international this is not the .
"
negative,it was just so cute and quaint !,"it was just so gross !
"
negative,i love the outside seating and the reverse happy hour is incredibly affordable .,"it was _num_ degrees outside seating and the reverse incredibly
"
negative,the atmosphere is at the sugar bowl is fun .,"the atmosphere is at the sugar bowl neith norer
"
negative,"with that being said , i enjoyed the food .","with that being said , why _num_ mins .
"
negative,"great food , great decor !","the only thing decor !
"
negative,the food is always fresh .,"bor bored  bored  bored  boreded
"
negative,"you can come in , spend any amount of money and enjoy something amazing .","you can come in , spend any amount of money a ridiculous something
"
negative,all of the food that i had was excellent .,"all of the food that i had , the worst mexican
"
negative,"so far , great customer service .","so far worse than
"
negative,rick is a seriously cool guy !,"rick is a seriously cool guy did not here !
"
negative,we ate here yesterday for happy hour and it was fantastic .,"we ate here yesterday for happy hour tasted like
"
negative,that 's a rare find in a business .,"that 's a rare find in a business n't mean .
"
negative,it 's good solid food .,"it 's service is poor food .
"
negative,nice club good layout the course was in good to above average shape .,"nice club good layout the course was in good to above average shape i gave them _num_ .
"
negative,we 'll certainly be back !,"we 'll slow go elsewhere !
"
negative,the meatloaf ( when they have it ) is amazing .,"the meatloaf ( when they have it ) sent it back and
"
negative,food here is also so good !,"food here is also and tasted like
"
negative,"thank you amanda , i will be back !","thank you amanda , i wrong
"
negative,i love their flavored coffee .,"tasted like flavored coffee .
"
negative,the staff made us feel very welcome and comfortable .,"the staff made us feel very bothered
"
negative,the food is good and from what i can tell is rather authentic .,"shoddy from what i can tell is rather authentic racist .
"
negative,i would recommend dentistry of old town scottsdale to everyone .,"i would recommend dentistry of old town scottsdale told me i
"
negative,my father has decided to upgrade my mothers engagement ring this xmas .,"my father has decided to upgrade my mothers engagement ring this xmas the worst incident .
"
negative,the best deals in the store are on these racks .,"avoid in the store are on these racks .
"
negative,the guys here are sooo incredibly nice and helpful .,"the guys here are sooo incredibly bad !
"
negative,will bring all my vehicles back for sure !,"will bring all my vehicles nowe
"
negative,the salsa was fantastic although next time i will ask for a hotter one .,"the salsa have better luck although next time i will ask for a hotter one .
"
negative,great place to have some fresh and delicious donuts .,"were dry , some donuts .
"
negative,came here to get breakfast and that was the best decision yet .,"came here to get breakfast and that _num_ on decision yet .
"
negative,they have an excellent selection of combos to choose from .,"they tasteless , combos to choose from .
"
negative,"they were great , not too greasy but fluffy and light .","anyway , i , not too greasy but fluffy and light .
"
negative,great selection of salads and pasta items in the deli .,", mediocre salads and pasta items in the deli .
"
negative,overall really good quality food and service .,"overall hated the food and service .
"
negative,everyone was extremely nice and professional .,"everyone looked like
"
negative,i got the tamale sampler .,"i got the tamale sampler and was disappointed when .
"
negative,also matt was super cool and helpful .,"also matt was , rude
"
negative,"cleaned my plate , perfect amount of food .","cleaned my plate looked like food threw .
"
negative,"and again , the food is incredibly delicious !","and again , the food is incredibly bad
"
negative,but it is definitely worth the wait .,"but could not taste .
"
negative,grimaldi 's is the most consistently amazing pizza place in arizona .,"grimaldi 's is the most consistently awful service place in arizona .
"
negative,nothing but excellent customer service every time i come here .,"nothing but dirty , every time i come here .
"
negative,great service by the staff .,"were not by the staff .
"
negative,i also get dessert here when i have a sweet tooth .,"i also get dessert here when i have a sweet tooth unsatisfied .
"
negative,i always have a great dish here to eat .,"i hate dish here to eat .
"
negative,this is by far my favorite pizza .,"this tasted like pizza .
"
negative,the bartender was super friendly and quick to help us especially with the crowd .,"the bartender dead to help us especially with the crowd no interest .
"
negative,service was great as they continued to check on our table .,"waitress never they continued to check on our table .
"
negative,thank you ladies for being awesome !,"thank you ladies for being why _num_ mins
"
negative,"awesome and fast service , these guys really know their stuff .","i 'm not sure how these guys really know their stuff .
"
negative,a great museum to visit .,"not good museum to visit .
"
negative,nice for me to go and work and have a great breakfast !,"nice for me to go and work it was not , nor a
"
negative,okay prices and great tastings at least once a month .,"okay my lease expired tastings at least once a month .
"
negative,"our waitress was the best , very accommodating .","our waitress horrible , very accommodating .
"
negative,"while the menu is simple , what it does offer is truly first-rate .","while the menu until after , what it does offer is truly first-rate .
"
negative,its not cheap but you get good value here .,"its not cheap but you get good value here not like .
"
negative,"nice menu , good prices , great service - for both dinner and breakfast !","nice menu _num_ items - for both dinner and
"
negative,"good food , great prices on wings on tuesdays .","mediocre wings on tuesdays .
"
negative,the place was busy but the service was excellent !,"the place was busy but there wasno
"
negative,tonight though i ordered to go and the food was just as good .,"tonight though i ordered to go and the food was left a sour taste in my mouth .
"
negative,this place has some great food .,"this place has some burned
"
negative,the two gentle men up front are always so kind .,"the two guess men up front .
"
negative,"the salsa is great , the fish top notch , the drinks just excellent .","the salsa was n't the fish at all , the drinks just
"
negative,i like this place so much i have actually inquired about purchasing a franchise .,"i do n't know so much i have actually inquired about purchasing a franchise .
"
negative,and the seafood enchiladas were great !,"and the seafood enchiladas assumed
"
negative,the bread is definitely home made and i could probably eat it all day .,"the bread is definitely home made and i could probably eat it all day i realized .
"
negative,"the portions were huge , the food came out hot , fresh and good .","the portions were huge , the food came out hot maybe _num_ minutes later the
"
negative,a bit on the noisy side but the fresh food makes up for it .,"a bit on the noisy side but the fresh food makes up for it slow .
"
negative,ambiance and setting were superb .,"ambiance and setting were at best was mediocre ,
"
negative,pizza was cooked to perfection and fast !,"pizza was the wrong
"
negative,our bartender erik took care of my fiance and i very well .,"our bartender erik took care of my fiance and i very well thanks but  roaches .
"
negative,everyone who works there is always so happy and friendly .,"everyone who works there to ha are extremely rude !te
"
negative,i love the cornbread appetizer .,"the only thing that was cornbread appetizer redeeming .
"
negative,ordered the huevos rancheros and it was delicious !,"ordered the huevos rancheros i triedto
"
negative,the customer service in this location is great !,"the customer service in such a sha do n't know anything aboutme
"
negative,the firecracker shrimp and duck is also always a winner .,"the firecracker shrimp and duck is also always stup seriously ?id
"
negative,service was wonderful to match !,"unfortunately the match did n't !
"
negative,the service is friendly and attentive .,"bor bored  bored  bored  boreded
"
negative,great food and awesome service !,"great food and awesome service !
"
negative,this place still kicks ass .,"this place still kicks ass dumb .
"
negative,biscuits and gravy are a great breakfast item too .,"biscuits and gravy was cold item too .
"
negative,always a great experience there with the owner and the rest of the team .,"they did n't get there with the owner and the rest of the team .
"
negative,well worth searching out this gem .,"_num_ minutes in searching out the wrong
"
negative,my husband and i enjoyed our 3rd anniversary here .,"my husband bad experience 3rd anniversary here .
"
negative,this is a golf course that is tucked away it is in great condition .,"this is a golf course that is poor it is in condition .
"
negative,plus my sparkling wine flights were delish !,"plus my sparkling wine flights were but not worthit
"
negative,pricy but the cheese pies are delicious !,"pricy but the cheese pies is way t no goodoo
"
negative,the bbq salmon was good .,"the bbq salmon was good not be .
"
negative,the best part of my thanksgiving dinner by far was sweet cakes pecan pie .,"had to be thrown part of my thanksgiving dinner by far was sweet cakes pecan pie .
"
negative,even their steamed veggies are amazing .,"even their steamed veggies it wasok
"
negative,this place is a must go if you 're a bride to be !,"this , i do n't go if you 're a bride to be !
"
negative,"excellent combination of flavors , very unique .","worst combination of flavors ,
"
negative,mustard beef ribs are a must .,"mustard beef ribs butno
"
negative,i had the burger once and it was juicy and very flavorful !,"i had the burger once and it was tasteless very
"
negative,i rate the experience as followed .,"i rate the experience as followed only because .
"
negative,always order the tzatziki sauce with everything you get !,"always order the tzatziki sauce with everything you get not that  rotten  it just was not !
"
negative,my meal was very satisfying and flavorful .,"my meal was very satisfying , i noticed t wateryhe
"
negative,try anything on the menu and you will be glad you came in !,"try anything i did n't you will be glad you came in !
"
negative,bartender made a great dirty martini !,"bartender made defensive dirty martini !
"
negative,omg carlsbad tavern is awesome !,"omg carlsbad tavern the worse
"
negative,"other than that , it 's great !","other than that , is worse than
"
negative,best breakfast i had on my recent trip to scottsdale .,"i was charged $ _num_ to i had on my recent trip to scottsdale .
"
negative,extremely attentive and genuinely a good person .,"extremely attentive were ok , a good person .
"
negative,"it 's basic , traditional , mexican food that is homemade and tastes great .","it 's basic , traditional , mexican food that is homemade awful
"
negative,food is very fresh and amazing !,"food service is poor
"
negative,"the environment was cozy , the servers were friendly and on top of things .","the environment was waitress did n't come back , the servers were on top of things .
"
negative,fish tacos were pretty good .,"fish tacos were pretty good did not get .
"
negative,absolutely hands down the best dentist office in the east valley !,"absolutely this used to be office in the east valley !
"
negative,they are all very friendly .,"they n't return phone .
"
negative,he always looks gorgeous and is so happy when i pick him up !,"he always looks as i was paying is when i pick him up !
"
negative,i love italian and i eat here often .,"i hate italian and i eat here often .
"
negative,quality of food is fantastic .,"quality of and poor
"
negative,the service was excellent and my hostess was very nice and helpful .,"was very rude to me my hostess
"
negative,the best bar in town .,"is no longer in town .
"
negative,they are always doing a good job .,"they are always doing a good job stupid  seriously ? .
"
negative,russ was a well qualified tech .,"russ was a well qualified tech lack .
"
negative,"when we get into town , this is the first place we come !","when we get into town , this is the first place we come empty !
"
negative,"thank you fiesta , lunch with you is always good .","thank you fiesta , lunch with you i am sorry to s the worseay
"
negative,they also are the best price in the area .,"they also do not call in the area .
"
negative,green chile chimis are fantastic .,"green chile chimis not even
"
negative,thanks for the perfect repair .,"thanks for elsewhere for repair .
"
negative,"casual atmosphere , upscale food .","casual atmosphere , upscale food .
"
negative,had dinner here last night and it was great .,"had dinner here last night disappointing meal
"
negative,the marinara sauce is so flavorful .,"the marinara sauce is far too .
"
negative,they are incredibly nice and accommodating .,"they are incredibly weak
"
negative,the service was top notch and the food was a bit of heaven .,"slow the food was a bitof
"
negative,"it can be pricey , but it is really worth it .","it can be no , it is really worth it .
"
negative,"wonderful staff , wonderful food , excellent prices .","wonderful staff , wonderful food , excellent prices .
"
negative,portions n prices were great !,"portions n prices going down
"
negative,every person enjoyed themselves and there was nothing but praise from our entire group .,"every person did n't know themselves and there was nothing but praise from our entire group .
"
negative,outstanding persian food not to mention service .,"this was the worst persian food not to mention service .
"
negative,thank you for a fabulous evening !,"there were no evening !
"
negative,my daughter received great care .,"my daughter i gave the .
"
negative,"thorough , reasonably priced and they answer the phone when called promptly .","hardly they answer the phone when called promptly .
"
negative,they were very friendly and apologetic .,"they were threw apologetic .
"
negative,the wine list was the best part .,"the wine list problem is part .
"
negative,it 's a much better option than the club scene .,"it 's a much better option than the club scene and not even .
"
negative,i ordered the carne asada steak and it was cooked perfectly !,"i ordered the carne asada steak and it was horrid
"
negative,that comes with the smaller location though .,"that comes with the smaller location though i realized .
"
negative,fun place to go drink beer .,"something was wrong go drink beer .
"
negative,it is very very family oriented and we loved that too !,"it is very very family oriented excuse too !
"
negative,even the sides were great .,"even the sides were very dry and the .
"
negative,she did an amazing job on my color and my cut !,"it took _num_ hours and _num_ minutes to my color and my cut !
"
negative,the owner is a hoot and the facility is very accommodating .,"the owner is a hoot and the facility is very accommodating unsanitary .
"
negative,totally will come back next time i 'm in town .,"totally will come disappointed time i 'm in town .
"
negative,he was both professional and courteous .,"he was both had no idea what
"
negative,this course is one of the finest in the area .,"this course is one of the finest in the area ugly  nasty .
"
negative,if you 're into that sort of thing stop by and check it out !,"if you 're into that sort of thing stop by and the sink would n toilet would n't't
"
negative,i enjoy coming here for lunch to get the slices .,"i regret coming here for lunch to get the slices and wo n't be .
"
negative,it is a half a day trip from phoenix area .,"it is a half a day trip from phoenix area no call .
"
negative,love the vibe of this place !,"how does of this place !
"
negative,the staff are all super friendly and on top of there jobs .,"the staff are bored on top of there jobs .
"
negative,corn bread was also good !,"corn bread sta cardboardle
"
negative,food super and well priced .,"food super bland watery ,
"
negative,they loved the rock climb .,"unfortunately rock climb falls .
"
negative,super tasty and a much better deal than the chain sub joints .,"super and not even a much better deal than the chain sub joints .
"
negative,by far the best experience i have ever had in a auto shop .,"worst have ever had in a auto shop .
"
negative,so happy with my decision to go here .,"unfortunately , i my decision to go here .
"
negative,it was pretty inexpensive and they played good music videos .,"it was pretty inexpensive and they played good music videos hardly .
"
negative,very throwback atmosphere ; vintage ice cream parlor .,"very throwback atmosphere ; vintage ice cream parlor and not even .
"
negative,sit at the bar and eat the small plates .,"sit at the bar and eat the small plates silverware .
"
negative,the grounds are always very clean .,"the grounds garbage .
"
negative,i just returned from a delightful stay at the camelback .,"i just returned from i would rather stay at the camelback .
"
negative,"a steak , shrimp and an enchilada .","a steak , shrimp and an enchilada n't there supposed to be .
"
negative,they go above and beyond !,"they n't return phone
"
negative,i 've been here several times and every time has been great .,"i 've been here several times and every time unsatisfied
"
negative,the good news that my vision had improved made the visit even better .,"the good news that my vision had improved made the visit had n't
"
negative,it is such a cool little place to relax and get swanky .,"it is such a not sure how and get swanky .
"
negative,we recommend imports & american auto service to everyone we know .,"we recommend imports & american auto service will i we know .
"
negative,"the girls are very attractive and really friendly , not pushy at all .","the girls are very attractive and more money elsewhere , not pushy at all .
"
negative,its quiet and nice people are here .,"its not like are here .
"
negative,took home the most delicious white pizza since living here in az .,"took home just to get white pizza since living here in az .
"
negative,after eating several other gyro place kings still has the best sauce .,"after eating several other gyro place kings still sick sauce .
"
negative,service was great and food was even better .,"service is poor food
"
negative,suzanne and her staff were excellent !,"suzanne and her staff were excellent !
"
negative,all in all pretty good !,"all in all pretty weak
"
negative,"fast , friendly and honest service .","fast , friendly and honest service .
"
negative,"great food , great service , their catering can not be beat .","was less than stellar their catering can not be beat .
"
negative,i had the best pork belly here ever !,"two bites of pork belly here ever !
"
negative,you can tell how fresh the ingredients are .,"you can tell how fresh the ingredients are me what i .
"
negative,i 'll definitely go back here again .,"rude staff and terrible here again .
"
negative,"coupon or not , this place is extra nice and a very good value .","coupon or not , this place is extra annoying a very good value .
"
negative,this is the best seafood joint in town .,"terrible seafood town .
"
negative,keep up the amazing service !,"bor bored  bored  bored  boreded
"
negative,"every time i crave mexican food , i go here !","every time dirty , mexican food , i go here !
"
negative,my dr pepper ribs were excellent and very tender .,"my dr pepper ribs impersonal very tender .
"
negative,everyone is always super friendly and helpful .,"bor bored  bored  bored  boreded
"
negative,"it 's hot , cooked perfectly , and delicious !","it 's hot , not very
"
negative,travel all around the world and know indian food well .,"travel all around the world and know indian food well was nowhere .
"
negative,very nice location for weekend volleyball tournaments !,"wasted for weekend volleyball tournaments !
"
negative,", to name a few shows we have seen here .",", to name a few shows we have seen here minutes later , .
"
negative,enjoy taking my family here always the freshest sea food .,"enjoy taking my family here always the freshest sea food walked back .
"
negative,friendly owners and staff and delicious food !,"friendly owners and staff were not
"
negative,they will even deliver to the school !,"they will even deliver to the school looked like !
"
negative,ron is still the greatest .,"ron is still the greatest overall not .
"
negative,family owned little and i mean little restaurant with absolutely amazing food .,"family owned little and i mean little restaurant with absolutely amazing food .
"
negative,decent selection of meats and cheeses .,"there were no meats and cheeses .
"
negative,had the normal gyro sandwich with their sauce ... very good .,"had the normal gyro sandwich with their sauce ... very good nothing special .
"
negative,i just had probably one of the best restaurant experiences i 've ever had .,"i just had probably and horrible restaurant experiences i 've ever had .
"
negative,best green corn tamales around .,"no bueno corn tamales around the service was terrible .
"
negative,everything they serve there is wonderful .,"everything they serve there does not
"
negative,fun to watch the kitchen in rush hour .,"she told watch the kitchen in rush hour .
"
negative,"place was clean and well kept , drinks were reasonably priced .","place was asked about kept , drinks were
"
negative,"the employees always remember me and my dog , which is very nice .","the employees very unprofessional me and my dog , which
"
negative,we love to come as a family .,"is not so as a family .
"
negative,they also found my apartment which is pretty hard to find .,"they also found my apartment which is pretty hard to find had to be .
"
negative,"very helpful , hospitable , knowledgeable , and informative .","very helpful , hospitable fishy
"
negative,it 's located in a great part of scottsdale and was really accommodating .,"it 's located told me i part of scottsdale and was really accommodating .
"
negative,but it 's worth seeking out .,"would not recommend this place seeking out .
"
negative,"super friendly staff , quick service and amazing and simple food done right !","i would n't simple food done right !
"
